,address,company,company_link,educational,experience,info_link,name,publish_time,salary,work_place,work_type
77,"[南京市紫东路1号                                        (邮编：210000)
                            ]",南京如舒科技有限公司,https://jobs.51job.com/all/co4619681.html,招3人,无工作经验,https://jobs.51job.com/guangzhou-thq/99751151.html?s=01&t=0,Python开发工程师,06-02,0.6-1万/月,南京,Web前端开发
78,"[沈阳浑南新区新秀街2号东软软件园                                        (邮编：110179)
                            ]",沈阳东软睿道教育服务有限公司,https://jobs.51job.com/all/co3121682.html,大专,无工作经验,https://jobs.51job.com/fuzhou-csq/79857376.html?s=01&t=0,大数据/Python开发工程师（可实习）,06-02,0.8-1万/月,沈阳,互联网软件开发工程师
79,"[张衡路1000弄20号                                        (邮编：201203)
                            ]",魔视智能科技（上海）有限公司,https://jobs.51job.com/all/co4684953.html,本科,3-4年经验,https://jobs.51job.com/zhuhai-xzq/93415976.html?s=01&t=0,Python开发工程师,06-02,1-2.5万/月,上海-浦东新区,高级软件工程师
80,"[广州市海珠区广州大道南448号财智大厦                                        (邮编：510220)
                            ]",广州哆啦信息科技有限公司,https://jobs.51job.com/all/co4626214.html,大专,1年经验,https://jobs.51job.com/shanghai-mhq/95813950.html?s=01&t=0,Python爬虫工程师,06-02,1.5-3万/月,广州-海珠区,技术支持/维护工程师
81,"[广州市广州科学城掬泉路3号国际企业孵化器 D 区三层                                        (邮编：510663)
                            ]",赛业（广州）生物科技有限公司,https://jobs.51job.com/all/co2114891.html,本科,2年经验,https://jobs.51job.com/wuhan/98874039.html?s=01&t=0,Python爬虫工程师,06-02,6-8千/月,广州,ERP技术开发
82,"[成都市高新区益州大道中段722号复城国际大厦T1  24楼                                        (邮编：610000)
                            ]",成都信升斯科技有限公司,https://jobs.51job.com/all/co2854751.html,本科,3-4年经验,https://jobs.51job.com/suzhou/101837088.html?s=01&t=0,Python开发工程师,06-02,1.5-2.5万/月,成都,软件工程师
83,"[上海市浦东新区张杨路3611弄6座11楼；南京市高新技术开发区惠达路6号北斗大厦11-13层                                        (邮编：200136)
                            ]",美库尔商务信息咨询有限公司,https://jobs.51job.com/all/co2657328.html,本科,无工作经验,https://jobs.51job.com/wuhan-hsq/95546410.html?s=01&t=0,Senior Software Developer-Spark Python SQL,06-02,2-2.5万/月,南京-浦口区,高级软件工程师
84,"[石家庄市中山东路与建华大街交叉口                                        (邮编：050000)
                            ]",石家庄明妄信息技术有限公司,https://jobs.51job.com/all/co5001928.html,本科,3-4年经验,https://jobs.51job.com/shenzhen-nsq/98395260.html?s=01&t=0,python数据开发+五险,06-02,3-4.5千/月,石家庄,软件工程师
85,"[新华路72号富中国际广场写字楼                                        (邮编：550000)
                            ]",海南海辰科技有限公司贵阳分公司,https://jobs.51job.com/all/co5018517.html,大专,无工作经验,https://jobs.51job.com/tianjin-bhxq/102358204.html?s=01&t=0,Python开发助理（可实习/双休）,06-02,3-5千/月,海口,软件工程师
86,"[深南大道4001号时代金融中心14楼                                        (邮编：518046)
                            ]",厦门宽投信息科技有限公司,https://jobs.51job.com/all/co4058387.html,本科,3-4年经验,https://jobs.51job.com/shanghai-xhq/97492354.html?s=01&t=0,高级Python金融开发工程师,06-02,20-40万/年,上海-静安区,高级软件工程师
